publication, user, type, topic, publication_description, quality, num_likes, num_comments, num_share, date, users_tagged
166,787,Video,Sports,Palau Blaugrana show,0.42248349561294274,3,0,0,11,4
167,228,Video,TV show,Almodovar on the Oscars gala,0.764855894384239,13,5,3,11,7
168,714,Image,Food,Italian pizza with cheese,0.8185073241127189,4,2,1,11,6
169,69,Video,Computer games,Buying on Steam,0.8199354205390996,8,1,0,11,2
170,629,Video,Travels,Climbing a mountain,0.14768165541094136,0,0,0,12,7
171,916,Text,Sports,Kid playing tennis,0.9467885444961497,15,6,6,12,2
172,811,Image,Drink Brand,Beer competition,0.6093960842042059,10,2,2,12,7
173,651,Video,TV show,Breaking bad scene,0.5331769221587168,8,1,1,12,7
174,279,Text,Animals,Family in the safari,0.397851903806556,3,1,0,12,6
175,197,Video,Sports,Tokio Olympic games,0.6985795499433078,13,6,5,12,7
176,637,Video,TV show,Watching the TV having dinner,0.8153670311494975,19,6,4,12,7
177,508,Video,TV show,Watching the TV having dinner,0.416945773729664,2,0,0,12,5
178,597,Image,Animals,Brown cat jumping,0.6600423462079998,10,2,2,13,7
179,862,Image,News and present,The GameStop short squeeze,0.6612669307410132,5,2,1,13,1
180,567,Image,Animals,Family in the safari,0.4946992869561605,7,1,1,13,6
181,498,Image,Animals,Turtle eating,0.7250492719687515,1,0,0,13,3
182,503,Image,News and present,Economic recovery and inflation,0.9697760556849249,31,10,9,13,10
183,515,Text,Sports,Watching football on the TV,0.6099172128809763,4,1,1,13,5
184,482,Video,Computer games,Auronplay playing Minecraft,0.040166247712532965,1,0,0,13,9
185,105,Video,TV show,Watching the TV having dinner,0.9890129697773372,24,5,5,13,6
186,587,Image,TV show,Watching the TV having dinner,0.7212937303947421,8,1,0,13,8
187,560,Image,TV show,Dog watching the TV,0.4473846789080471,4,2,1,13,0
188,509,Video,Sports,Cat playing football,0.1096528579096826,1,0,0,13,8
189,253,Video,Food,Chinese Peking duck,0.8306203888820878,20,4,4,13,4
190,496,Text,Music Artist,1M of assistants in a concert,0.6371005823771457,2,2,1,13,7
191,571,Video,TV show,Kid watching Better Call Saul,0.16072159692385368,0,0,0,13,9
192,989,Image,Sports,Lakers vs Miami match,0.4824042557708855,2,0,0,13,5
193,348,Video,Sports,Playing paddle,0.9609598574639472,14,1,0,13,1
194,234,Image,Food,Goulash in Hungary,0.41768686075872685,4,1,0,13,4
195,571,Text,Sports,Visitors watching the Camp Nou,0.25102665889321585,2,1,0,13,3
196,64,Video,Animals,Human touching a parrot,0.9571320274346902,41,15,9,13,3
197,500,Video,TV show,Arcane breaking rankings,0.4029933781108289,6,2,2,14,1
198,210,Image,Sports,Mbappe coming to Madrid,0.15370702897587873,0,0,0,14,5
199,803,Text,Animals,Cat raising her cats,0.5468234661566526,2,0,0,14,0
200,227,Video,Sports,Kid playing tennis,0.7973666587791374,10,4,2,14,9
201,570,Image,Music Artist,Driving a car with music,0.8885976995298657,20,8,3,14,1
202,826,Image,TV show,Black Batman costume,0.33795033808690433,2,2,1,14,1
203,641,Image,Sports,Kid watching champions league on mobile phone,0.597946318725396,6,2,0,14,3
204,412,Video,Computer games,Ibai Llanos streaming,0.42845951156705464,2,1,1,14,6
205,206,Video,Sports,Kid watching champions league on mobile phone,0.5481382751995657,5,1,1,14,1
206,55,Image,Music Artist,Piano classes academy,0.3860189834676777,8,1,0,14,1
207,667,Video,Computer games,League of legends game,0.37036017058046466,1,1,1,14,2
208,960,Video,Music Artist,Family singing,0.20158252264771637,3,3,2,14,0
209,917,Video,Travels,Kid imitating the Statue of Liberty in the USA,0.5077133099148643,4,3,2,14,8
210,599,Image,Music Artist,Pink Floyd doing a talk,0.14690471847469022,0,0,0,14,9
211,125,Video,Music Artist,Pink Floyd doing a talk,0.8031862552106241,53,20,18,15,8
212,545,Text,Animals,Human touching a parrot,0.3018603089417392,3,2,1,15,2
213,701,Image,Sports,Visitors watching the Camp Nou,0.9671279841617113,14,4,4,15,3
214,81,Video,Music Artist,AC/DC playing the guitar,0.3126583782927316,3,1,0,15,5
215,669,Image,News and present,Fight for women,0.12357502583653823,2,1,1,15,5
216,593,Image,Sports,Kid playing tennis,0.6703060784303873,19,8,6,15,1
217,38,Video,Animals,Happy zebra playing on the floor,0.2038076352042303,0,0,0,15,6
218,43,Text,Food,Coca-Cola factory visitors,0.6272281343733663,14,2,1,15,10
219,436,Video,Animals,Dog sleeping in bed,0.03158133890025372,0,0,0,15,4
220,167,Image,TV show,Watching the TV having dinner,0.9213914246367436,10,2,1,15,5
221,459,Image,TV show,Family going to the cinema,0.35506939053816244,1,0,0,15,8
222,151,Image,News and present,Ukraine crisis,0.5095205228621201,17,3,2,15,1
223,769,Image,Animals,Brown cat jumping,0.7788579530018869,19,4,3,15,2
224,633,Image,Food,Italian pizza with cheese,0.47524822484635276,7,2,1,15,3
225,560,Video,TV show,Watching the TV having dinner,0.9350153879801462,11,4,4,15,5
226,55,Video,Animals,Giraffe smiling,0.6365187481202129,20,9,7,15,4
227,838,Image,Travels,Kid imitating the Statue of Liberty in the USA,0.4007791808218276,0,0,0,15,0
228,7,Text,Sports,Visitors watching the Camp Nou,0.6159746728404027,12,4,4,15,1
229,925,Image,Food,Italian pizza with cheese,0.789755754536236,5,2,1,15,5
230,587,Text,Travels,Climbing a mountain,0.046307555286591695,0,0,0,15,5
231,825,Video,News and present,The GameStop short squeeze,0.16726796515088194,2,2,2,15,1
232,409,Text,Music Artist,Rap battle on the street,0.8837724641733712,12,2,2,15,9
233,206,Image,TV show,Arcane breaking rankings,0.3464743234622013,3,0,0,16,6
234,31,Image,TV show,Watching the TV having dinner,0.5595721786001082,28,11,8,16,10
235,295,Video,Music Artist,1M of assistants in a concert,0.40944545172131896,0,0,0,16,1
236,490,Video,Music Artist,AC/DC playing the guitar,0.277564974173397,1,1,1,16,0
237,652,Image,Animals,Cat sleeping in bed,0.8140289302853942,7,1,1,16,6
238,872,Image,TV show,Kid watching Better Call Saul,0.5517893732809528,2,1,1,16,1
239,811,Video,Food,Food Travels,0.5882296701766051,7,2,2,16,4
240,117,Image,TV show,The Great British Baking Show,0.4367944469596552,4,1,1,16,6
241,224,Video,Food,Egyptian Cuisine program,0.13377720475237898,0,0,0,16,4
242,991,Text,Animals,Turtle eating,0.9558136425405354,6,2,1,16,2
243,742,Image,TV show,Dog watching the TV,0.48405547310010677,1,1,0,16,0
244,864,Image,Music Artist,Led Zeppelin singing,0.6406858801856172,4,2,2,16,5
245,883,Video,TV show,Family going to the cinema,0.8775293301712994,29,11,9,16,6
246,898,Image,TV show,Almodovar on the Oscars gala,0.09742319563356194,1,1,1,16,4
247,259,Image,Sports,Palau Blaugrana show,0.1734698229973014,0,0,0,16,9
248,31,Image,Animals,Cat raising her cats,0.6632128675541732,34,18,15,16,1
249,602,Video,Food,McDonald’s burger and sauces,0.48037879226113955,3,0,0,16,6
250,645,Text,News and present,Messi is angry,0.6516439247587236,8,2,2,16,0
251,785,Image,Animals,Brown cat jumping,0.4981911600528973,4,1,0,16,2
252,311,Image,Animals,Cat sleeping in bed,0.7404755305688877,6,2,1,16,1
253,648,Text,Music Artist,Elvis Presley show,0.38586368864274356,2,1,0,16,8
254,981,Image,Sports,Visitors watching the Camp Nou,0.5655838335400165,5,3,2,16,8
255,304,Text,Food,Goulash in Hungary,0.3468071767497136,2,1,1,16,1
256,820,Video,Animals,Book of 100 animals,0.5385282175965855,4,2,2,17,1
257,466,Video,Food,Spanish Cuisine,0.3281005365660312,2,0,0,17,5
258,953,Image,TV show,Kid watching Better Call Saul,0.748197973512175,10,4,3,17,1
259,716,Image,TV show,Black Batman costume,0.6260207951258764,3,0,0,17,7
260,180,Image,TV show,Black Batman costume,0.014194665989771371,0,0,0,17,8
261,25,Text,Animals,Sad dog playing with a ball,0.18635242877277758,0,0,0,17,3
262,577,Image,Computer games,Tutorial of Valorant,0.8454525214830658,18,5,3,17,2
263,716,Text,Music Artist,Piano classes academy,0.8660247607811461,3,2,2,17,2
264,181,Image,TV show,The Great British Baking Show,0.07522125509295374,0,0,0,17,5
265,377,Image,TV show,Almodovar on the Oscars gala,0.25094850204307606,3,0,0,17,3
266,267,Image,Food,Goulash in Hungary,0.2603271975167777,1,0,0,17,5
267,603,Image,Animals,Book of 100 animals,0.21033987896312234,1,1,1,17,4
268,867,Image,Music Artist,Listening queen on the bed,0.21792444658365862,1,0,0,17,4
269,287,Text,Computer games,Flappy bird creator,0.42625610291802496,7,0,0,17,1
270,408,Video,Sports,Mbappe coming to Madrid,0.35811476723277624,3,2,1,17,5
271,527,Image,TV show,Tv comedy,0.5930585275541439,4,0,0,17,8
272,298,Image,Music Artist,AC/DC playing the guitar,0.6519099650329334,9,3,3,17,8
273,219,Image,Sports,Family running on the beach,0.12390121795372189,3,0,0,17,1
274,183,Image,Computer games,Ibai Llanos streaming,0.03984301839715465,0,0,0,17,6
275,937,Image,Animals,Human touching his cat,0.8122458863199713,17,4,3,17,0
276,789,Image,TV show,Family going to the cinema,0.99457347257378,27,8,6,17,3
277,833,Image,TV show,Arcane breaking rankings,0.5941189708741628,9,1,1,18,7
278,759,Text,Sports,Lakers vs Miami match,0.16199137377387396,0,0,0,18,8
279,783,Text,Sports,Kid watching champions league on mobile phone,0.5587405339468725,8,1,0,18,3
280,452,Image,Music Artist,Viñarock tickets,0.08362137535186365,0,0,0,18,1
281,426,Video,Music Artist,Eminem singing on NFL,0.7118306829610204,9,3,2,18,1
282,276,Video,Animals,Human touching his cat,0.8982455538611933,22,8,7,18,5
283,56,Video,TV show,Breaking bad scene,0.24583997966620685,3,0,0,18,10
284,52,Image,TV show,Tv comedy,0.0632000044936335,0,0,0,18,1
285,872,Image,News and present,Economic recovery and inflation,0.9897236576159336,7,2,2,19,3
286,818,Image,Animals,Humans visiting the zoo,0.46472738107691336,6,4,4,19,2
287,782,Text,Music Artist,Led Zeppelin singing,0.7666022832568686,7,2,1,19,1
288,684,Video,Computer games,Flappy bird creator,0.3069880705165522,1,0,0,19,3
289,851,Video,Travels,Climbing a mountain,0.004527061961344003,0,0,0,19,6
290,575,Image,Food,Family eating lasagne,0.1530480133915062,1,0,0,19,6
291,839,Image,Music Artist,Pink Floyd doing a talk,0.6728032694342528,3,0,0,20,7
292,849,Text,Food,Oven cleaning,0.6705083275119672,6,3,3,20,4
293,976,Text,TV show,Family going to the cinema,0.9671448971854304,16,7,5,20,7
294,687,Video,Sports,Cat playing football,0.2431939193077466,2,1,1,20,7
295,92,Image,News and present,The rise of NFTs,0.4961294154087328,9,4,2,20,10
296,997,Text,Sports,Lakers vs Miami match,0.9049368974624669,2,0,0,20,3
297,521,Image,TV show,Breaking bad scene,0.6706655293316013,12,3,2,20,5
298,859,Image,Music Artist,Piano classes academy,0.1385659129321487,1,1,1,20,2
299,608,Image,TV show,Breaking bad scene,0.645633462714238,8,2,2,20,4
300,93,Text,Sports,Family running on the beach,0.001961576030782619,0,0,0,20,5
301,337,Image,TV show,Black Batman costume,0.13315709581450452,1,0,0,20,4
302,936,Video,Music Artist,Michael Jackson dancing,0.9332607326545317,8,4,3,20,6
303,420,Image,News and present,The US Capitol riots,0.11784248274294917,0,0,0,20,3
304,757,Image,Travels,Family visiting the Eiffel Tower,0.20899805082386824,0,0,0,20,9
305,933,Image,Food,Family eating lasagne,0.15412963268285518,1,1,0,20,9
306,260,Video,Food,Workers picking coffee,0.15829826244581013,2,0,0,20,9
307,981,Text,Music Artist,Rap battle on the street,0.3049832778754369,0,0,0,20,2
308,888,Image,Music Artist,Boy and girl dancing,0.4452731697413186,5,1,1,20,6
309,695,Image,TV show,Family going to the cinema,0.05483402393181336,0,0,0,20,7
310,839,Image,Music Artist,Rap battle on the street,0.2937561778169048,1,0,0,20,4
311,849,Text,Music Artist,Led Zeppelin singing,0.4895197970642876,1,0,0,21,6
312,327,Video,Sports,Palau Blaugrana show,0.9753693766184384,19,6,4,21,8
313,88,Image,Music Artist,Driving a car with music,0.8838304495714138,15,4,3,21,0
314,258,Image,Computer games,Happy family playing Wii,0.1101073434570935,2,0,0,21,4
315,856,Image,Computer games,Tutorial of Valorant,0.3731886439589114,5,0,0,21,8
316,0,Image,Travels,Parthenon sunset,0.612152939599911,10,4,3,21,3
317,879,Text,TV show,Watching the TV having dinner,0.6888675919322835,6,0,0,21,5
318,804,Image,Animals,Humans visiting the zoo,0.8039458700512873,4,0,0,21,7
319,502,Image,Computer games,Auronplay playing Minecraft,0.8510842894975894,23,10,7,21,5
320,27,Image,TV show,Tv comedy,0.8164511713022489,23,12,8,21,2
321,527,Text,Food,Chorizo a la sidra,0.552243127975059,8,1,1,21,10
322,103,Image,Music Artist,Driving a car with music,0.9673728302006063,22,6,5,21,7
323,900,Video,Sports,Kid watching champions league on mobile phone,0.7907030909260984,4,1,1,21,8
324,82,Image,Animals,Human playing with his dog,0.3310447037853791,0,0,0,21,5
325,44,Text,Sports,Kid playing tennis,0.13650564140248822,0,0,0,22,6
326,431,Text,Animals,Elephant walking,0.4580144213451288,4,1,1,22,1
327,535,Video,Animals,Grey cat jumping,0.6071632100416783,12,1,1,22,1
328,6,Image,Sports,Tokio Olympic games,0.7772667457682961,28,11,8,22,4
329,566,Image,Sports,Kid playing tennis,0.38705145509856453,3,0,0,22,9
330,233,Image,Sports,Watching football on the TV,0.44529253422382775,3,1,1,22,3
331,30,Video,Music Artist,Eminem singing on NFL,0.019754789422396057,0,0,0,22,8
332,416,Image,Computer games,Tutorial of Valorant,0.7345332341982079,9,2,2,22,5
333,527,Image,Animals,Sad dog playing with a ball,0.5792212059545567,4,1,1,22,3
334,227,Text,TV show,The Great British Baking Show,0.8748547185066639,10,6,5,22,9
335,349,Text,News and present,Mental health,0.6721112756125867,10,3,3,22,2
336,66,Text,Computer games,League of legends game,0.1863723728221709,0,0,0,22,6
337,37,Image,TV show,Kid watching Better Call Saul,0.1595103444233783,1,0,0,23,7
338,675,Text,Computer games,Red Nintendo DS,0.7399391845116615,9,3,2,23,1
339,752,Text,Music Artist,Boy and girl dancing,0.4276438934401482,3,1,1,23,3
340,833,Image,Animals,Dog eating,0.9304414341111532,21,8,7,23,4
341,448,Image,Animals,Rabbit sleeping,0.4821972400273433,9,7,3,23,9
342,748,Video,Sports,Cat playing football,0.6112734833819856,4,2,2,23,4
343,370,Image,Music Artist,Eminem singing on NFL,0.2541628241406987,4,2,2,23,3
